Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
1993,NBA,Finals,Jun 9 - Jun 20 1993,,Chicago Bulls (2),4,,Phoenix Suns (1),2,,CHI (-240),PHO (+190)
1992,NBA,Eastern Conf First Round,Apr 23 - Apr 27 1992,,Boston Celtics (2),3,,Indiana Pacers (7),0,,BOS (-550),IND (+350)
1992,NBA,Eastern Conf First Round,Apr 24 - Apr 29 1992,,Chicago Bulls (1),3,,Miami Heat (8),0,,CHI (-10000),MIA (+7500)
1992,NBA,Eastern Conf First Round,Apr 23 - Apr 30 1992,,Cleveland Cavaliers (3),3,,New Jersey Nets (6),1,,CLE (-850),NJN (+550)
1992,NBA,Eastern Conf First Round,Apr 24 - May 3 1992,,New York Knicks (4),3,,Detroit Pistons (5),2,,NYK (-160),DET (+120)
1992,NBA,Western Conf First Round,Apr 24 - Apr 29 1992,,Phoenix Suns (4),3,,San Antonio Spurs (5),0,,PHO (-1500),SAS (+1000)
1992,NBA,Western Conf First Round,Apr 23 - May 3 1992,,Portland Trail Blazers (1),3,,Los Angeles Lakers (8),1,,POR (-2000),LAL (+1500)
1992,NBA,Western Conf First Round,Apr 23 - Apr 30 1992,,Seattle SuperSonics (6),3,,Golden State Warriors (3),1,,GSW (-270),SEA (+210)
1992,NBA,Western Conf First Round,Apr 24 - May 4 1992,,Utah Jazz (2),3,,Los Angeles Clippers (7),2,,UTA (-450),LAC (+325)
1992,NBA,Eastern Conf Semifinals,May 5 - May 17 1992,,Chicago Bulls (1),4,,New York Knicks (4),3,,CHI (-2500),NYK (+1700)
1992,NBA,Eastern Conf Semifinals,May 2 - May 17 1992,,Cleveland Cavaliers (3),4,,Boston Celtics (2),3,,CLE (-170),BOS (+130)
1992,NBA,Western Conf Semifinals,May 5 - May 14 1992,,Portland Trail Blazers (1),4,,Phoenix Suns (4),1,,POR (-500),PHO (+350)
1992,NBA,Western Conf Semifinals,May 6 - May 14 1992,,Utah Jazz (2),4,,Seattle SuperSonics (6),1,,UTA (-200),SEA (+160)
1992,NBA,Eastern Conf Finals,May 19 - May 29 1992,,Chicago Bulls (1),4,,Cleveland Cavaliers (3),2,,CHI (-650),CLE (+450)
1992,NBA,Western Conf Finals,May 16 - May 28 1992,,Portland Trail Blazers (1),4,,Utah Jazz (2),2,,POR (-360),UTA (+280)
1992,NBA,Finals,Jun 3 - Jun 14 1992,,Chicago Bulls (1),4,,Portland Trail Blazers (1),2,,CHI (-250),POR (+200)
1991,NBA,Eastern Conf First Round,Apr 26 - May 5 1991,,Boston Celtics (2),3,,Indiana Pacers (7),2,,BOS (-900),IND (+600)
1991,NBA,Eastern Conf First Round,Apr 25 - Apr 30 1991,,Chicago Bulls (1),3,,New York Knicks (8),0,,CHI (-1200),NYK (+800)
1991,NBA,Eastern Conf First Round,Apr 26 - May 5 1991,,Detroit Pistons (3),3,,Atlanta Hawks (6),2,,DET (-400),ATL (+300)
1991,NBA,Eastern Conf First Round,Apr 25 - Apr 30 1991,,Philadelphia 76ers (5),3,,Milwaukee Bucks (4),0,,MIL (-180),PHI (+140)
1991,NBA,Western Conf First Round,Apr 25 - May 3 1991,,Golden State Warriors (7),3,,San Antonio Spurs (2),1,,SAS (-500),GSW (+350)
1991,NBA,Western Conf First Round,Apr 25 - Apr 30 1991,,Los Angeles Lakers (3),3,,Houston Rockets (6),0,,LAL (-360),HOU (+280)
1991,NBA,Western Conf First Round,Apr 26 - May 4 1991,,Portland Trail Blazers (1),3,,Seattle SuperSonics (8),2,,POR (-1200),SEA (+800)
1991,NBA,Western Conf First Round,Apr 25 - May 2 1991,,Utah Jazz (5),3,,Phoenix Suns (4),1,,PHO (-360),UTA (+280)
1991,NBA,Eastern Conf Semifinals,May 4 - May 14 1991,,Chicago Bulls (1),4,,Philadelphia 76ers (5),1,,CHI (-500),PHI (+350)
1991,NBA,Eastern Conf Semifinals,May 7 - May 17 1991,,Detroit Pistons (3),4,,Boston Celtics (2),2,,BOS (-270),DET (+210)
1991,NBA,Western Conf Semifinals,May 5 - May 14 1991,,Los Angeles Lakers (3),4,,Golden State Warriors (7),1,,LAL (-800),GSW (+550)
1991,NBA,Western Conf Semifinals,May 7 - May 14 1991,,Portland Trail Blazers (1),4,,Utah Jazz (5),1,,POR (-650),UTA (+450)
1991,NBA,Eastern Conf Finals,May 19 - May 27 1991,,Chicago Bulls (1),4,,Detroit Pistons (3),0,,CHI (-270),DET (+210)
1991,NBA,Western Conf Finals,May 18 - May 30 1991,,Los Angeles Lakers (3),4,,Portland Trail Blazers (1),2,,POR (-190),LAL (+150)
1991,NBA,Finals,Jun 2 - Jun 12 1991,,Chicago Bulls (1),4,,Los Angeles Lakers (3),1,,CHI (-200),LAL (+170)
1990,NBA,Eastern Conf First Round,Apr 27 - May 3 1990,,Chicago Bulls (3),3,,Milwaukee Bucks (6),1,,CHI (-650),MIL (+450)
1990,NBA,Eastern Conf First Round,Apr 26 - May 1 1990,,Detroit Pistons (1),3,,Indiana Pacers (8),0,,DET (-1200),IND (+800)
1990,NBA,Eastern Conf First Round,Apr 26 - May 6 1990,,New York Knicks (5),3,,Boston Celtics (4),2,,BOS (-450),NYK (+325)
1990,NBA,Eastern Conf First Round,Apr 26 - May 5 1990,,Philadelphia 76ers (2),3,,Cleveland Cavaliers (7),2,,PHI (-450),CLE (+325)
1990,NBA,Western Conf First Round,Apr 27 - May 3 1990,,Los Angeles Lakers (1),3,,Houston Rockets (8),1,,LAL (-1200),HOU (+800)
1990,NBA,Western Conf First Round,Apr 27 - May 6 1990,,Phoenix Suns (5),3,,Utah Jazz (4),2,,UTA (-160),PHO (+140)
1990,NBA,Western Conf First Round,Apr 26 - May 1 1990,,Portland Trail Blazers (3),3,,Dallas Mavericks (6),0,,POR (-600),DAL (+400)
1990,NBA,Western Conf First Round,Apr 26 - May 1 1990,,San Antonio Spurs (2),3,,Denver Nuggets (7),0,,SAS (-500),DEN (+350)
1990,NBA,Eastern Conf Semifinals,May 7 - May 16 1990,,Chicago Bulls (3),4,,Philadelphia 76ers (2),1,,CHI (-160),PHI (+140)
1990,NBA,Eastern Conf Semifinals,May 8 - May 15 1990,,Detroit Pistons (1),4,,New York Knicks (5),1,,DET (-1500),NYK (+1000)
1990,NBA,Western Conf Semifinals,May 8 - May 15 1990,,Phoenix Suns (5),4,,Los Angeles Lakers (1),1,,LAL (-700),PHO (+500)
1990,NBA,Western Conf Semifinals,May 5 - May 19 1990,,Portland Trail Blazers (3),4,,San Antonio Spurs (2),3,,POR (-200),SAS (+170)
1990,NBA,Eastern Conf Finals,May 20 - Jun 3 1990,,Detroit Pistons (1),4,,Chicago Bulls (3),3,,DET (-280),CHI (+220)
1990,NBA,Western Conf Finals,May 21 - May 31 1990,,Portland Trail Blazers (3),4,,Phoenix Suns (5),2,,PHO (-120),POR (+100)
1990,NBA,Finals,Jun 5 - Jun 14 1990,,Detroit Pistons (1),4,,Portland Trail Blazers (3),1,,DET (-400),POR (+300)
1989,NBA,Eastern Conf First Round,Apr 28 - May 7 1989,,Chicago Bulls (6),3,,Cleveland Cavaliers (3),2,,CLE (-500),CHI (+350)
1989,NBA,Eastern Conf First Round,Apr 28 - May 2 1989,,Detroit Pistons (1),3,,Boston Celtics (8),0,,DET (-2000),BOS (+1500)
1989,NBA,Eastern Conf First Round,Apr 27 - May 7 1989,,Milwaukee Bucks (5),3,,Atlanta Hawks (4),2,,ATL (-250),MIL (+200)
1989,NBA,Eastern Conf First Round,Apr 27 - May 2 1989,,New York Knicks (2),3,,Philadelphia 76ers (7),0,,NYK (-350),PHI (+275)
1989,NBA,Western Conf First Round,Apr 27 - May 2 1989,,Golden State Warriors (7),3,,Utah Jazz (2),0,,UTA (-1000),GSW (+700)
1989,NBA,Western Conf First Round,Apr 27 - May 3 1989,,Los Angeles Lakers (1),3,,Portland Trail Blazers (8),0,,LAL (-2500),POR (+2000)
1989,NBA,Western Conf First Round,Apr 28 - May 2 1989,,Phoenix Suns (3),3,,Denver Nuggets (6),0,,PHO (-1000),DEN (+700)
1989,NBA,Western Conf First Round,Apr 28 - May 5 1989,,Seattle SuperSonics (4),3,,Houston Rockets (5),1,,SEA (-280),HOU (+230)
1989,NBA,Eastern Conf Semifinals,May 9 - May 19 1989,,Chicago Bulls (6),4,,New York Knicks (2),2,,NYK (-450),CHI (+300)
1989,NBA,Eastern Conf Semifinals,May 10 - May 15 1989,,Detroit Pistons (1),4,,Milwaukee Bucks (5),0,,DET (-700),MIL (+500)
1989,NBA,Western Conf Semifinals,May 7 - May 14 1989,,Los Angeles Lakers (1),4,,Seattle SuperSonics (4),0,,LAL (-700),SEA (+500)
1989,NBA,Western Conf Semifinals,May 6 - May 16 1989,,Phoenix Suns (3),4,,Golden State Warriors (7),1,,PHO (-850),GSW (+550)
1989,NBA,Eastern Conf Finals,May 21 - Jun 2 1989,,Detroit Pistons (1),4,,Chicago Bulls (6),2,,DET (-650),CHI (+450)
1989,NBA,Western Conf Finals,May 20 - May 28 1989,,Los Angeles Lakers (1),4,,Phoenix Suns (3),0,,LAL (-300),PHO (+240)
1989,NBA,Finals,Jun 6 - Jun 13 1989,,Detroit Pistons (1),4,,Los Angeles Lakers (1),0,,LAL (-120),DET (+100)
1988,NBA,Eastern Conf First Round,Apr 29 - May 8 1988,,Atlanta Hawks (4),3,,Milwaukee Bucks (5),2,,ATL (-450),MIL (+300)
1988,NBA,Eastern Conf First Round,Apr 29 - May 6 1988,,Boston Celtics (1),3,,New York Knicks (8),1,,BOS (-1200),NYK (+800)
1988,NBA,Eastern Conf First Round,Apr 28 - May 8 1988,,Chicago Bulls (3),3,,Cleveland Cavaliers (6),2,,CHI (-300),CLE (+240)
1988,NBA,Eastern Conf First Round,Apr 28 - May 8 1988,,Detroit Pistons (2),3,,Washington Bullets (7),2,,DET (-800),WSB (+550)
1988,NBA,Western Conf First Round,Apr 28 - May 5 1988,,Dallas Mavericks (3),3,,Houston Rockets (6),1,,DAL (-400),HOU (+300)
1988,NBA,Western Conf First Round,Apr 29 - May 7 1988,,Denver Nuggets (2),3,,Seattle SuperSonics (7),2,,DEN (-500),SEA (+350)
1988,NBA,Western Conf First Round,Apr 29 - May 3 1988,,Los Angeles Lakers (1),3,,San Antonio Spurs (8),0,,LAL (-3000),SAS (+2000)
1988,NBA,Western Conf First Round,Apr 28 - May 6 1988,,Utah Jazz (5),3,,Portland Trail Blazers (4),1,,POR (-250),UTA (+200)
1988,NBA,Eastern Conf Semifinals,May 11 - May 22 1988,,Boston Celtics (1),4,,Atlanta Hawks (4),3,,BOS (-500),ATL (+300)
1988,NBA,Eastern Conf Semifinals,May 10 - May 18 1988,,Detroit Pistons (2),4,,Chicago Bulls (3),1,,DET (-240),CHI (+200)
1988,NBA,Western Conf Semifinals,May 10 - May 19 1988,,Dallas Mavericks (3),4,,Denver Nuggets (2),2,,DEN (-170),DAL (+150)
1988,NBA,Western Conf Semifinals,May 8 - May 21 1988,,Los Angeles Lakers (1),4,,Utah Jazz (5),3,,LAL,UTA
1988,NBA,Eastern Conf Finals,May 25 - Jun 3 1988,,Detroit Pistons (2),4,,Boston Celtics (1),2,,BOS (-250),DET (+200)
1988,NBA,Western Conf Finals,May 23 - Jun 4 1988,,Los Angeles Lakers (1),4,,Dallas Mavericks (3),3,,LAL (-450),DAL (+300)
1988,NBA,Finals,Jun 7 - Jun 21 1988,,Los Angeles Lakers (1),4,,Detroit Pistons (2),3,,LAL (-260),DET (+210)
1987,NBA,Eastern Conf First Round,Apr 24 - May 1 1987,,Atlanta Hawks (2),3,,Indiana Pacers (7),1,,ATL,IND
1987,NBA,Eastern Conf First Round,Apr 23 - Apr 28 1987,,Boston Celtics (1),3,,Chicago Bulls (8),0,,,
1987,NBA,Eastern Conf First Round,Apr 24 - Apr 29 1987,,Detroit Pistons (3),3,,Washington Bullets (6),0,,,
1987,NBA,Eastern Conf First Round,Apr 24 - May 3 1987,,Milwaukee Bucks (4),3,,Philadelphia 76ers (5),2,,,
1987,NBA,Western Conf First Round,Apr 23 - May 3 1987,,Golden State Warriors (5),3,,Utah Jazz (4),2,,,
1987,NBA,Western Conf First Round,Apr 24 - Apr 30 1987,,Houston Rockets (6),3,,Portland Trail Blazers (3),1,,,
1987,NBA,Western Conf First Round,Apr 23 - Apr 29 1987,,Los Angeles Lakers (1),3,,Denver Nuggets (8),0,,,
1987,NBA,Western Conf First Round,Apr 23 - Apr 30 1987,,Seattle SuperSonics (7),3,,Dallas Mavericks (2),1,,,
1987,NBA,Eastern Conf Semifinals,May 5 - May 17 1987,,Boston Celtics (1),4,,Milwaukee Bucks (4),3,,,
1987,NBA,Eastern Conf Semifinals,May 3 - May 13 1987,,Detroit Pistons (3),4,,Atlanta Hawks (2),1,,,
1987,NBA,Western Conf Semifinals,May 5 - May 12 1987,,Los Angeles Lakers (1),4,,Golden State Warriors (5),1,,,
1987,NBA,Western Conf Semifinals,May 2 - May 14 1987,,Seattle SuperSonics (7),4,,Houston Rockets (6),2,,,
1987,NBA,Eastern Conf Finals,May 19 - May 30 1987,,Boston Celtics (1),4,,Detroit Pistons (3),3,,,
1987,NBA,Western Conf Finals,May 16 - May 25 1987,,Los Angeles Lakers (1),4,,Seattle SuperSonics (7),0,,,
1987,NBA,Finals,Jun 2 - Jun 14 1987,,Los Angeles Lakers (1),4,,Boston Celtics (1),2,,,
1986,NBA,Eastern Conf First Round,Apr 17 - Apr 25 1986,,Atlanta Hawks (4),3,,Detroit Pistons (5),1,,,
1986,NBA,Eastern Conf First Round,Apr 17 - Apr 22 1986,,Boston Celtics (1),3,,Chicago Bulls (8),0,,,
1986,NBA,Eastern Conf First Round,Apr 18 - Apr 22 1986,,Milwaukee Bucks (2),3,,New Jersey Nets (7),0,,,
1986,NBA,Eastern Conf First Round,Apr 18 - Apr 27 1986,,Philadelphia 76ers (3),3,,Washington Bullets (6),2,,,
1986,NBA,Western Conf First Round,Apr 18 - Apr 25 1986,,Dallas Mavericks (4),3,,Utah Jazz (5),1,,,
1986,NBA,Western Conf First Round,Apr 18 - Apr 24 1986,,Denver Nuggets (3),3,,Portland Trail Blazers (6),1,,,
1986,NBA,Western Conf First Round,Apr 17 - Apr 22 1986,,Houston Rockets (2),3,,Sacramento Kings (7),0,,,
1986,NBA,Western Conf First Round,Apr 17 - Apr 23 1986,,Los Angeles Lakers (1),3,,San Antonio Spurs (8),0,,,
1986,NBA,Eastern Conf Semifinals,Apr 27 - May 6 1986,,Boston Celtics (1),4,,Atlanta Hawks (4),1,,,
1986,NBA,Eastern Conf Semifinals,Apr 29 - May 11 1986,,Milwaukee Bucks (2),4,,Philadelphia 76ers (3),3,,,
1986,NBA,Western Conf Semifinals,Apr 26 - May 8 1986,,Houston Rockets (2),4,,Denver Nuggets (3),2,,,
1986,NBA,Western Conf Semifinals,Apr 27 - May 8 1986,,Los Angeles Lakers (1),4,,Dallas Mavericks (4),2,,,
1986,NBA,Eastern Conf Finals,May 13 - May 18 1986,,Boston Celtics (1),4,,Milwaukee Bucks (2),0,,,
1986,NBA,Western Conf Finals,May 10 - May 21 1986,,Houston Rockets (2),4,,Los Angeles Lakers (1),1,,,
1986,NBA,Finals,May 26 - Jun 8 1986,,Boston Celtics (1),4,,Houston Rockets (2),2,,,
1985,NBA,Eastern Conf First Round,Apr 18 - Apr 25 1985,,Boston Celtics (1),3,,Cleveland Cavaliers (8),1,,,
1985,NBA,Eastern Conf First Round,Apr 18 - Apr 24 1985,,Detroit Pistons (4),3,,New Jersey Nets (5),0,,,
1985,NBA,Eastern Conf First Round,Apr 19 - Apr 26 1985,,Milwaukee Bucks (2),3,,Chicago Bulls (7),1,,,
1985,NBA,Eastern Conf First Round,Apr 17 - Apr 26 1985,,Philadelphia 76ers (3),3,,Washington Bullets (6),1,,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 28 1985,,Denver Nuggets (2),3,,San Antonio Spurs (7),2,,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 23 1985,,Los Angeles Lakers (1),3,,Phoenix Suns (8),0,,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 25 1985,,Portland Trail Blazers (5),3,,Dallas Mavericks (4),1,,,
1985,NBA,Western Conf First Round,Apr 19 - Apr 28 1985,,Utah Jazz (6),3,,Houston Rockets (3),2,,,
1985,NBA,Eastern Conf Semifinals,Apr 28 - May 10 1985,,Boston Celtics (1),4,,Detroit Pistons (4),2,,,
1985,NBA,Eastern Conf Semifinals,Apr 28 - May 5 1985,,Philadelphia 76ers (3),4,,Milwaukee Bucks (2),0,,,
1985,NBA,Western Conf Semifinals,Apr 30 - May 7 1985,,Denver Nuggets (2),4,,Utah Jazz (6),1,,,
1985,NBA,Western Conf Semifinals,Apr 27 - May 7 1985,,Los Angeles Lakers (1),4,,Portland Trail Blazers (5),1,,,
1985,NBA,Eastern Conf Finals,May 12 - May 22 1985,,Boston Celtics (1),4,,Philadelphia 76ers (3),1,,,
1985,NBA,Western Conf Finals,May 11 - May 22 1985,,Los Angeles Lakers (1),4,,Denver Nuggets (2),1,,,
1985,NBA,Finals,May 27 - Jun 9 1985,,Los Angeles Lakers (1),4,,Boston Celtics (1),2,,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 24 1984,,Boston Celtics (1),3,,Washington Bullets (8),1,,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 26 1984,,Milwaukee Bucks (2),3,,Atlanta Hawks (7),2,,,
1984,NBA,Eastern Conf First Round,Apr 18 - Apr 26 1984,,New Jersey Nets (6),3,,Philadelphia 76ers (3),2,,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 27 1984,,New York Knicks (5),3,,Detroit Pistons (4),2,,,
1984,NBA,Western Conf First Round,Apr 17 - Apr 26 1984,,Dallas Mavericks (4),3,,Seattle SuperSonics (5),2,,,
1984,NBA,Western Conf First Round,Apr 18 - Apr 22 1984,,Los Angeles Lakers (1),3,,Kansas City Kings (8),0,,,
1984,NBA,Western Conf First Round,Apr 18 - Apr 26 1984,,Phoenix Suns (6),3,,Portland Trail Blazers (3),2,,,
1984,NBA,Western Conf First Round,Apr 17 - Apr 26 1984,,Utah Jazz (2),3,,Denver Nuggets (7),2,,,
1984,NBA,Eastern Conf Semifinals,Apr 29 - May 13 1984,,Boston Celtics (1),4,,New York Knicks (5),3,,,
1984,NBA,Eastern Conf Semifinals,Apr 29 - May 10 1984,,Milwaukee Bucks (2),4,,New Jersey Nets (6),2,,,
1984,NBA,Western Conf Semifinals,Apr 28 - May 8 1984,,Los Angeles Lakers (1),4,,Dallas Mavericks (4),1,,,
1984,NBA,Western Conf Semifinals,Apr 29 - May 10 1984,,Phoenix Suns (6),4,,Utah Jazz (2),2,,,
1984,NBA,Eastern Conf Finals,May 15 - May 23 1984,,Boston Celtics (1),4,,Milwaukee Bucks (2),1,,,
1984,NBA,Western Conf Finals,May 12 - May 25 1984,,Los Angeles Lakers (1),4,,Phoenix Suns (6),2,,,
1984,NBA,Finals,May 27 - Jun 12 1984,,Boston Celtics (1),4,,Los Angeles Lakers (1),3,,,
1983,NBA,Eastern Conf First Round,Apr 19 - Apr 24 1983,,Boston Celtics (3),2,,Atlanta Hawks (6),1,,,
1983,NBA,Eastern Conf First Round,Apr 20 - Apr 21 1983,,New York Knicks (5),2,,New Jersey Nets (4),0,,,
1983,NBA,Western Conf First Round,Apr 19 - Apr 24 1983,,Denver Nuggets (6),2,,Phoenix Suns (3),1,,,
1983,NBA,Western Conf First Round,Apr 20 - Apr 22 1983,,Portland Trail Blazers (5),2,,Seattle SuperSonics (4),0,,,
1983,NBA,Eastern Conf Semifinals,Apr 27 - May 2 1983,,Milwaukee Bucks (2),4,,Boston Celtics (3),0,,,
1983,NBA,Eastern Conf Semifinals,Apr 24 - May 1 1983,,Philadelphia 76ers (1),4,,New York Knicks (5),0,,,
1983,NBA,Western Conf Semifinals,Apr 24 - May 3 1983,,Los Angeles Lakers (1),4,,Portland Trail Blazers (5),1,,,
1983,NBA,Western Conf Semifinals,Apr 26 - May 4 1983,,San Antonio Spurs (2),4,,Denver Nuggets (6),1,,,
1983,NBA,Eastern Conf Finals,May 8 - May 18 1983,,Philadelphia 76ers (1),4,,Milwaukee Bucks (2),1,,,
1983,NBA,Western Conf Finals,May 8 - May 20 1983,,Los Angeles Lakers (1),4,,San Antonio Spurs (2),2,,,
1983,NBA,Finals,May 22 - May 31 1983,,Philadelphia 76ers (1),4,,Los Angeles Lakers (1),0,,,
1982,NBA,Eastern Conf First Round,Apr 21 - Apr 23 1982,,Philadelphia 76ers (3),2,,Atlanta Hawks (6),0,,,
1982,NBA,Eastern Conf First Round,Apr 20 - Apr 23 1982,,Washington Bullets (5),2,,New Jersey Nets (4),0,,,
1982,NBA,Western Conf First Round,Apr 20 - Apr 24 1982,,Phoenix Suns (5),2,,Denver Nuggets (4),1,,,
1982,NBA,Western Conf First Round,Apr 21 - Apr 25 1982,,Seattle SuperSonics (3),2,,Houston Rockets (6),1,,,
1982,NBA,Eastern Conf Semifinals,Apr 25 - May 5 1982,,Boston Celtics (1),4,,Washington Bullets (5),1,,,
1982,NBA,Eastern Conf Semifinals,Apr 25 - May 7 1982,,Philadelphia 76ers (3),4,,Milwaukee Bucks (2),2,,,
1982,NBA,Western Conf Semifinals,Apr 27 - May 2 1982,,Los Angeles Lakers (1),4,,Phoenix Suns (5),0,,,
1982,NBA,Western Conf Semifinals,Apr 27 - May 5 1982,,San Antonio Spurs (2),4,,Seattle SuperSonics (3),1,,,
1982,NBA,Eastern Conf Finals,May 9 - May 23 1982,,Philadelphia 76ers (3),4,,Boston Celtics (1),3,,,
1982,NBA,Western Conf Finals,May 9 - May 15 1982,,Los Angeles Lakers (1),4,,San Antonio Spurs (2),0,,,
1982,NBA,Finals,May 27 - Jun 8 1982,,Los Angeles Lakers (1),4,,Philadelphia 76ers (3),2,,,
1981,NBA,Eastern Conf First Round,Mar 31 - Apr 3 1981,,Chicago Bulls (5),2,,New York Knicks (4),0,,,
1981,NBA,Eastern Conf First Round,Mar 31 - Apr 2 1981,,Philadelphia 76ers (3),2,,Indiana Pacers (6),0,,,
1981,NBA,Western Conf First Round,Apr 1 - Apr 5 1981,,Houston Rockets (6),2,,Los Angeles Lakers (3),1,,,
1981,NBA,Western Conf First Round,Apr 1 - Apr 5 1981,,Kansas City Kings (5),2,,Portland Trail Blazers (4),1,,,
1981,NBA,Eastern Conf Semifinals,Apr 5 - Apr 12 1981,,Boston Celtics (1),4,,Chicago Bulls (5),0,,,
1981,NBA,Eastern Conf Semifinals,Apr 5 - Apr 19 1981,,Philadelphia 76ers (3),4,,Milwaukee Bucks (2),3,,,
1981,NBA,Western Conf Semifinals,Apr 7 - Apr 17 1981,,Houston Rockets (6),4,,San Antonio Spurs (2),3,,,
1981,NBA,Western Conf Semifinals,Apr 7 - Apr 19 1981,,Kansas City Kings (5),4,,Phoenix Suns (1),3,,,
1981,NBA,Eastern Conf Finals,Apr 21 - May 3 1981,,Boston Celtics (1),4,,Philadelphia 76ers (3),3,,,
1981,NBA,Western Conf Finals,Apr 21 - Apr 29 1981,,Houston Rockets (6),4,,Kansas City Kings (5),1,,,
1981,NBA,Finals,May 5 - May 14 1981,,Boston Celtics (1),4,,Houston Rockets (6),2,,,
1980,NBA,Eastern Conf First Round,Apr 2 - Apr 6 1980,,Houston Rockets (4),2,,San Antonio Spurs (5),1,,,
1980,NBA,Eastern Conf First Round,Apr 2 - Apr 4 1980,,Philadelphia 76ers (3),2,,Washington Bullets (6),0,,,
1980,NBA,Western Conf First Round,Apr 2 - Apr 6 1980,,Phoenix Suns (4),2,,Kansas City Kings (5),1,,,
1980,NBA,Western Conf First Round,Apr 2 - Apr 6 1980,,Seattle SuperSonics (3),2,,Portland Trail Blazers (6),1,,,
1980,NBA,Eastern Conf Semifinals,Apr 9 - Apr 14 1980,,Boston Celtics (1),4,,Houston Rockets (4),0,,,
1980,NBA,Eastern Conf Semifinals,Apr 6 - Apr 15 1980,,Philadelphia 76ers (3),4,,Atlanta Hawks (2),1,,,
1980,NBA,Western Conf Semifinals,Apr 8 - Apr 15 1980,,Los Angeles Lakers (1),4,,Phoenix Suns (4),1,,,
1980,NBA,Western Conf Semifinals,Apr 8 - Apr 20 1980,,Seattle SuperSonics (3),4,,Milwaukee Bucks (2),3,,,
1980,NBA,Eastern Conf Finals,Apr 18 - Apr 27 1980,,Philadelphia 76ers (3),4,,Boston Celtics (1),1,,,
1980,NBA,Western Conf Finals,Apr 22 - Apr 30 1980,,Los Angeles Lakers (1),4,,Seattle SuperSonics (3),1,,,
1980,NBA,Finals,May 4 - May 16 1980,,Los Angeles Lakers (1),4,,Philadelphia 76ers (3),2,,,
1979,NBA,Eastern Conf First Round,Apr 11 - Apr 13 1979,,Atlanta Hawks (5),2,,Houston Rockets (4),0,,,
1979,NBA,Eastern Conf First Round,Apr 11 - Apr 13 1979,,Philadelphia 76ers (3),2,,New Jersey Nets (6),0,,,
1979,NBA,Western Conf First Round,Apr 10 - Apr 15 1979,,Los Angeles Lakers (5),2,,Denver Nuggets (4),1,,,
1979,NBA,Western Conf First Round,Apr 10 - Apr 15 1979,,Phoenix Suns (3),2,,Portland Trail Blazers (6),1,,,
1979,NBA,Eastern Conf Semifinals,Apr 15 - May 2 1979,,San Antonio Spurs (2),4,,Philadelphia 76ers (3),3,,,
1979,NBA,Eastern Conf Semifinals,Apr 15 - Apr 29 1979,,Washington Bullets (1),4,,Atlanta Hawks (5),3,,,
