Year,Game ID,Series,URL1,URL2,Team1,Team2,Start Date,End Date
2001,345,finals,/playoffs/2001-nba-finals-lakers-vs-76ers.html,/playoffs/2001-nba-finals-76ers-vs-lakers.html,LAL,PHI,6/6/01,6/15/01
2000,351,western conference first round,/playoffs/2000-nba-western-conference-first-round-suns-vs-spurs.html,/playoffs/2000-nba-western-conference-first-round-spurs-vs-suns.html,PHO,SAS,4/22/00,5/2/00
2000,352,western conference first round,/playoffs/2000-nba-western-conference-first-round-trail-blazers-vs-timberwolves.html,/playoffs/2000-nba-western-conference-first-round-timberwolves-vs-trail-blazers.html,POR,MIN,4/23/00,5/2/00
2000,357,western conference semifinals,/playoffs/2000-nba-western-conference-semifinals-trail-blazers-vs-jazz.html,/playoffs/2000-nba-western-conference-semifinals-jazz-vs-trail-blazers.html,POR,UTA,5/7/00,5/16/00
2000,359,western conference finals,/playoffs/2000-nba-western-conference-finals-lakers-vs-trail-blazers.html,/playoffs/2000-nba-western-conference-finals-trail-blazers-vs-lakers.html,LAL,POR,5/20/00,6/4/00
2000,360,finals,/playoffs/2000-nba-finals-lakers-vs-pacers.html,/playoffs/2000-nba-finals-pacers-vs-lakers.html,LAL,IND,6/7/00,6/19/00
1999,366,western conference first round,/playoffs/1999-nba-western-conference-first-round-trail-blazers-vs-suns.html,/playoffs/1999-nba-western-conference-first-round-suns-vs-trail-blazers.html,POR,PHO,5/8/99,5/12/99
1999,371,western conference semifinals,/playoffs/1999-nba-western-conference-semifinals-trail-blazers-vs-jazz.html,/playoffs/1999-nba-western-conference-semifinals-jazz-vs-trail-blazers.html,UTA,POR,5/18/99,5/27/99
1999,374,western conference finals,/playoffs/1999-nba-western-conference-finals-spurs-vs-trail-blazers.html,/playoffs/1999-nba-western-conference-finals-trail-blazers-vs-spurs.html,SAS,POR,5/29/99,6/6/99
1999,375,finals,/playoffs/1999-nba-finals-spurs-vs-knicks.html,/playoffs/1999-nba-finals-knicks-vs-spurs.html,SAS,NYK,6/16/99,6/25/99
1998,380,western conference first round,/playoffs/1998-nba-western-conference-first-round-lakers-vs-trail-blazers.html,/playoffs/1998-nba-western-conference-first-round-trail-blazers-vs-lakers.html,LAL,POR,4/24/98,4/30/98
1998,390,finals,/playoffs/1998-nba-finals-bulls-vs-jazz.html,/playoffs/1998-nba-finals-jazz-vs-bulls.html,CHI,UTA,6/3/98,6/14/98
1997,396,western conference first round,/playoffs/1997-nba-western-conference-first-round-lakers-vs-trail-blazers.html,/playoffs/1997-nba-western-conference-first-round-trail-blazers-vs-lakers.html,LAL,POR,4/25/97,5/2/97
1997,405,finals,/playoffs/1997-nba-finals-bulls-vs-jazz.html,/playoffs/1997-nba-finals-jazz-vs-bulls.html,CHI,UTA,6/1/97,6/13/97
1996,413,western conference first round,/playoffs/1996-nba-western-conference-first-round-jazz-vs-trail-blazers.html,/playoffs/1996-nba-western-conference-first-round-trail-blazers-vs-jazz.html,UTA,POR,4/25/96,5/5/96
1996,420,finals,/playoffs/1996-nba-finals-bulls-vs-supersonics.html,/playoffs/1996-nba-finals-supersonics-vs-bulls.html,CHI,SEA,6/5/96,6/16/96
1995,427,western conference first round,/playoffs/1995-nba-western-conference-first-round-suns-vs-trail-blazers.html,/playoffs/1995-nba-western-conference-first-round-trail-blazers-vs-suns.html,PHO,POR,4/28/95,5/2/95
1995,435,finals,/playoffs/1995-nba-finals-rockets-vs-magic.html,/playoffs/1995-nba-finals-magic-vs-rockets.html,ORL,HOU,6/7/95,6/14/95
1994,441,western conference first round,/playoffs/1994-nba-western-conference-first-round-rockets-vs-trail-blazers.html,/playoffs/1994-nba-western-conference-first-round-trail-blazers-vs-rockets.html,HOU,POR,4/29/94,5/6/94
1994,450,finals,/playoffs/1994-nba-finals-rockets-vs-knicks.html,/playoffs/1994-nba-finals-knicks-vs-rockets.html,HOU,NYK,6/8/94,6/22/94
